标题,链接,分享码,文件大小(GB),发现时间
BD00588.[爱情神话_Fellini_-_Satyricon_1969][CC版_DIY简繁中字@kaola][43.27GB].iso,https://115cdn.com/s/swz1zew36gr?password=9527,swz1zew36gr,43.27,2026/1/24 星期六 5:52:42
BD00609.[爱情与友谊_Love_and_Friendship_2016][DIY台版公映繁简中字][XOXO@HDSky][22.89GB].iso,https://115cdn.com/s/swz1ze236gr?password=9527,swz1ze236gr,22.89,2026/1/24 星期六 5:52:42
BD00584.[爱情合众国_United_States_of_Love_2016][无中字][19.11GB].iso,https://115cdn.com/s/swz1ze336gr?password=9527,swz1ze336gr,19.11,2026/1/24 星期六 5:52:42
BD00594.[爱情是狗娘_Amores_perros_2000][英Optimum版_DIY繁简_评论音轨及中字_全花絮中字][DIY@blucook#47][37.67GB].iso,https://115cdn.com/s/swz1ze436gr?password=9527,swz1ze436gr,37.67,2026/1/24 星期六 5:52:42
BD00585.[爱情合众国_United_States_of_Love_2016][英版_蓝光原盘_DIY繁简中字_DIY@blucook#2][CHDBits][19.12GB].iso,https://115cdn.com/s/swz1ze636gr?password=9527,swz1ze636gr,19.12,2026/1/24 星期六 5:52:42
到青山那边去 (1987),https://115cdn.com/s/swz1u8z36gr?password=9527,swz1u8z36gr,2.13,2026/1/24 星期六 5:52:42
BD00593.[爱情是狗娘_Amores_perros_2000][高码_DIY简繁字幕][KIMSJ@HDSky][37.06GB].iso,https://115cdn.com/s/swz1ze736gr?password=9527,swz1ze736gr,37.06,2026/1/24 星期六 5:52:42
BD00606.[爱情与灵药_Love_and_Other_Drugs_2010][原盘中字][HDWinG][36.48GB].iso,https://115cdn.com/s/swz1ze936gr?password=9527,swz1ze936gr,36.48,2026/1/24 星期六 5:52:42
BD00167.[1951年的欧洲_Europe_'51_1952][CC版_DIY简繁中字@kaola][44.27GB].iso,https://115cdn.com/s/swz1zfa36gr?password=9527,swz1zfa36gr,44.27,2026/1/24 星期六 5:52:42
BD00168.[1951年的欧洲_Europe_'51_1952][CC版_无中字][44.34GB].iso,https://115cdn.com/s/swz1zfg36gr?password=9527,swz1zfg36gr,44.34,2026/1/24 星期六 5:52:42
BD00176.[2046_2004][韩版_DIY国语简繁中字][HDSky][21.08GB].iso,https://115cdn.com/s/swz1zfc36gr?password=9527,swz1zfc36gr,21.08,2026/1/24 星期六 5:52:42
大虫灾 (2022),https://115cdn.com/s/swz1uyy36gr?password=9527,swz1uyy36gr,1.86,2026/1/24 星期六 5:52:42
BD00649.[爱在日落黄昏时_Before_Sunset_2004][CC版_DIY简繁_双语字幕][Thor@HDSky][45.71GB].iso,https://115cdn.com/s/swz1zgk36gr?password=9527,swz1zgk36gr,45.71,2026/1/24 星期六 5:52:42
BD00645.[爱在黎明破晓前_Before_Sunrise_1995][CC版_DIY简繁_双语字幕][Thor@HDSky][45.47GB].iso,https://115cdn.com/s/swz1zgq36gr?password=9527,swz1zgq36gr,45.47,2026/1/24 星期六 5:52:42
BD00356.[阿尔弗雷德·希区柯克作品集：Geneon环球日版胶片盒典藏版_1942-1976][BD50X16][部分原盘中字][599.04GB]辣手摧花_Shadow_of_a_Doubt_1943.iso,https://115cdn.com/s/swz1zim36gr?password=9527,swz1zim36gr,33.97,2026/1/24 星期六 5:52:42
BD00233.[PTU机动部队_PTU_2003][港版_原盘][HDA][22.59GB].iso,https://115cdn.com/s/swz1zlx36gr?password=9527,swz1zlx36gr,22.59,2026/1/24 星期六 5:52:42
BD00483.[爱的发声练习_My_So-called_Love_2008][原盘简繁中字][21.43GB].iso,https://115cdn.com/s/swz1zm436gr?password=9527,swz1zm436gr,21.43,2026/1/24 星期六 5:52:42
BD00306.[X战警3：最后一战_X-Men_-_The_Last_Stand_2006][原盘中字][26.05GB].iso,https://115cdn.com/s/swz1zoy36gr?password=9527,swz1zoy36gr,26.05,2026/1/24 星期六 5:52:42
BD00245.[ST红与白的搜查档案：电影版_ST_The_Movie_2015][DIY简繁中字][TTG][22.61GB].iso,https://115cdn.com/s/swz1zqf36gr?password=9527,swz1zqf36gr,22.61,2026/1/24 星期六 5:52:42
BD00556.[爱丽丝梦游仙境2：镜中奇遇记_Alice_Through_the_Looking_Glass_2016][原盘_国语中字][MTeam][38.59GB].iso,https://115cdn.com/s/swz1zrz36gr?password=9527,swz1zrz36gr,38.59,2026/1/24 星期六 5:52:42
BD00195.[BJ单身日记3：BJ的孩子_Bridget_Jones's_Baby_2016][台版_原盘中字][TTG][45.17GB].iso,https://115cdn.com/s/swz1zsr36gr?password=9527,swz1zsr36gr,45.17,2026/1/24 星期六 5:52:42
BD00618.[爱若此时_Any_Day_Now_2012][DIY简繁中字][TTG][29.78GB].iso,https://115cdn.com/s/swz1za736gr?password=9527,swz1za736gr,29.78,2026/1/24 星期六 5:52:41
BD00275.[X战警：逆转未来_X-Men_Days_of_Future_Past_2014][小淘气扩充版_DIY次国简繁双语特效][shhaclm@TTG][44.32GB].iso,https://115cdn.com/s/swz1zb736gr?password=9527,swz1zb736gr,44.32,2026/1/24 星期六 5:52:41
BD00291.[X战警：天启_X-Men_Apocalypse_2016][台版_原盘中字][TTG][45.17GB].iso,https://115cdn.com/s/swz1zb136gr?password=9527,swz1zb136gr,45.17,2026/1/24 星期六 5:52:41
失衡凶间之罪与杀 (2023),https://115cdn.com/s/swz1u7g36gr?password=9527,swz1u7g36gr,10,2026/1/24 星期六 5:52:41
黑材料 (2022),https://115cdn.com/s/swz1xvq36gr?password=9527,swz1xvq36gr,16.04,2026/1/24 星期六 5:52:41
BD00460.[爱，简单_The_Way_He_Looks_2014][DIYR3简繁中字][MT][43.70GB].iso,https://115cdn.com/s/swz1zda36gr?password=9527,swz1zda36gr,43.7,2026/1/24 星期六 5:52:41
BD00451.[艾曼纽1-3_Emmanuelle_1-3_1974_1975_1977][DIY繁简字幕][BC@UPXin][58.15GB]艾曼纽_Emmanuelle_1974.iso,https://115cdn.com/s/swz1zdb36gr?password=9527,swz1zdb36gr,21.28,2026/1/24 星期六 5:52:41
BD00446.[艾利之书_The_Book_of_Eli_2010][DIY国语_双语国配特效字幕][CMCT][44.39GB].iso,https://115cdn.com/s/swz1zdf36gr?password=9527,swz1zdf36gr,44.39,2026/1/24 星期六 5:52:41
